Date,Open,High,Low,Close
09/27/2024,"26,248.25","26,277.35","26,151.40","26,178.95"
09/26/2024,"26,005.40","26,250.90","25,998.40","26,216.05"
09/25/2024,"25,921.45","26,032.80","25,871.35","26,004.15"
09/24/2024,"25,921.45","26,011.55","25,886.85","25,940.40"
09/23/2024,"25,872.55","25,956.00","25,847.35","25,939.05"
09/20/2024,"25,525.95","25,849.25","25,426.60","25,790.95"
09/19/2024,"25,487.05","25,611.95","25,376.05","25,415.80"
09/18/2024,"25,402.40","25,482.20","25,285.55","25,377.55"
09/17/2024,"25,416.90","25,441.65","25,352.25","25,418.55"
09/16/2024,"25,406.65","25,445.70","25,336.20","25,383.75"
09/13/2024,"25,430.45","25,430.50","25,292.45","25,356.50"
09/12/2024,"25,059.65","25,433.35","24,941.45","25,388.90"
09/11/2024,"25,034.00","25,113.70","24,885.15","24,918.45"
09/10/2024,"24,999.40","25,130.50","24,896.80","25,041.10"
09/09/2024,"24,823.40","24,957.50","24,753.15","24,936.40"
09/06/2024,"25,093.70","25,168.75","24,801.30","24,852.15"
09/05/2024,"25,250.50","25,275.45","25,127.75","25,145.10"
09/04/2024,"25,089.95","25,216.00","25,083.80","25,198.70"
09/03/2024,"25,313.40","25,321.70","25,235.80","25,279.85"
09/02/2024,"25,333.60","25,333.65","25,235.50","25,278.70"
08/30/2024,"25,249.70","25,268.35","25,199.40","25,235.90"
08/29/2024,"25,035.30","25,192.90","24,998.50","25,151.95"
08/28/2024,"25,030.80","25,129.60","24,964.65","25,052.35"
08/27/2024,"25,024.80","25,073.10","24,973.65","25,017.75"
08/26/2024,"24,906.10","25,043.80","24,874.70","25,010.60"
08/23/2024,"24,845.40","24,858.40","24,771.65","24,823.15"
08/22/2024,"24,863.40","24,867.35","24,784.45","24,811.50"
08/21/2024,"24,680.55","24,787.95","24,654.50","24,770.20"
08/20/2024,"24,648.90","24,734.30","24,607.20","24,698.85"
08/19/2024,"24,636.35","24,638.80","24,522.95","24,572.65"
08/16/2024,"24,334.85","24,563.90","24,204.50","24,541.15"
08/14/2024,"24,184.40","24,196.50","24,099.70","24,143.75"
08/13/2024,"24,342.35","24,359.95","24,116.50","24,139.00"
08/12/2024,"24,320.05","24,472.80","24,212.10","24,347.00"
08/09/2024,"24,386.85","24,419.75","24,311.20","24,367.50"
08/08/2024,"24,248.55","24,340.50","24,079.70","24,117.00"
08/07/2024,"24,289.40","24,337.70","24,184.90","24,297.50"
08/06/2024,"24,189.85","24,382.60","23,960.40","23,992.55"
08/05/2024,"24,302.85","24,350.05","23,893.70","24,055.60"
08/02/2024,"24,789.00","24,851.90","24,686.85","24,717.70"
08/01/2024,"25,030.95","25,078.30","24,956.40","25,010.90"
07/31/2024,"24,886.70","24,984.60","24,856.50","24,951.15"
07/30/2024,"24,839.40","24,971.75","24,798.65","24,857.30"
07/29/2024,"24,943.30","24,999.75","24,774.60","24,836.10"
07/26/2024,"24,423.35","24,861.15","24,410.90","24,834.85"
07/25/2024,"24,230.95","24,426.15","24,210.80","24,406.10"
07/24/2024,"24,444.95","24,504.25","24,307.25","24,413.50"
07/23/2024,"24,568.90","24,582.55","24,074.20","24,479.05"
07/22/2024,"24,445.75","24,595.20","24,362.30","24,509.25"
07/19/2024,"24,853.80","24,854.80","24,508.15","24,530.90"
07/18/2024,"24,543.80","24,837.75","24,504.45","24,800.85"
07/16/2024,"24,615.90","24,661.25","24,587.65","24,613.00"
07/15/2024,"24,587.60","24,635.05","24,522.75","24,586.70"
07/12/2024,"24,387.95","24,592.20","24,331.15","24,502.15"
07/11/2024,"24,396.55","24,402.65","24,193.75","24,315.95"
07/10/2024,"24,459.85","24,461.05","24,141.80","24,324.45"
07/09/2024,"24,329.45","24,443.60","24,331.90","24,433.20"
07/05/2024,"24,213.35","24,363.00","24,168.85","24,323.85"
07/04/2024,"24,369.95","24,401.00","24,281.00","24,302.15"
07/03/2024,"24,291.75","24,309.15","24,207.10","24,286.50"
07/02/2024,"24,228.75","24,236.35","24,056.40","24,123.85"
07/01/2024,"23,992.95","24,164.00","23,992.70","24,141.95"
06/28/2024,"24,085.90","24,174.00","23,985.80","24,010.60"
06/27/2024,"23,881.55","24,087.45","23,805.40","24,044.50"
06/26/2024,"23,723.10","23,889.90","23,670.45","23,868.80"
06/25/2024,"23,577.10","23,754.15","23,562.05","23,721.30"
06/24/2024,"23,382.30","23,558.10","23,350.00","23,537.85"
06/21/2024,"23,661.15","23,667.10","23,398.20","23,501.10"
06/20/2024,"23,586.15","23,624.00","23,442.60","23,567.00"
06/19/2024,"23,629.85","23,664.00","23,412.90","23,516.00"
06/18/2024,"23,570.80","23,579.05","23,499.70","23,557.90"
06/14/2024,"23,464.95","23,490.40","23,334.25","23,465.60"
06/13/2024,"23,480.95","23,481.05","23,353.90","23,398.90"
06/12/2024,"23,344.45","23,441.95","23,295.95","23,322.95"
06/11/2024,"23,283.75","23,389.45","23,206.65","23,264.85"
06/10/2024,"23,319.15","23,411.90","23,227.15","23,259.20"
06/07/2024,"22,821.85","23,320.20","22,789.05","23,290.15"
06/06/2024,"22,798.60","22,910.15","22,642.60","22,821.40"
06/05/2024,"22,128.35","22,670.40","21,791.95","22,620.35"
06/04/2024,"23,179.50","23,179.50","21,281.45","21,884.50"
06/03/2024,"23,337.90","23,338.70","23,062.30","23,263.90"
05/31/2024,"22,568.10","22,653.75","22,465.10","22,530.70"
05/30/2024,"22,617.45","22,705.75","22,417.00","22,488.65"
05/29/2024,"22,762.75","22,825.50","22,685.45","22,704.70"
05/28/2024,"22,977.15","22,998.55","22,858.50","22,888.15"
05/27/2024,"23,038.95","23,110.80","22,871.20","22,932.45"
05/24/2024,"22,930.75","23,026.40","22,908.00","22,957.10"
05/23/2024,"22,614.10","22,993.60","22,577.45","22,967.65"
05/22/2024,"22,576.60","22,629.50","22,483.15","22,597.80"
05/21/2024,"22,404.55","22,591.10","22,404.55","22,529.05"
05/17/2024,"22,415.25","22,502.15","22,345.65","22,466.10"
05/16/2024,"22,319.20","22,432.25","22,054.55","22,403.85"
05/15/2024,"22,255.60","22,297.55","22,151.75","22,200.55"
05/14/2024,"22,112.90","22,270.05","22,081.25","22,217.85"
05/13/2024,"22,027.95","22,131.65","21,821.05","22,104.05"
05/10/2024,"21,990.95","22,131.30","21,950.30","22,055.20"
05/09/2024,"22,224.80","22,307.75","21,932.40","21,957.50"
05/08/2024,"22,231.20","22,368.65","22,185.20","22,302.50"
05/07/2024,"22,489.75","22,499.05","22,232.05","22,302.50"
05/06/2024,"22,561.60","22,588.80","22,409.45","22,442.70"
05/03/2024,"22,766.35","22,794.70","22,348.05","22,475.85"
05/02/2024,"22,567.85","22,710.50","22,567.85","22,648.20"
04/30/2024,"22,679.65","22,783.35","22,568.40","22,604.85"
04/29/2024,"22,475.55","22,655.80","22,441.90","22,643.40"
04/26/2024,"22,620.40","22,620.40","22,385.55","22,419.95"
04/25/2024,"22,316.90","22,625.95","22,305.25","22,570.35"
04/24/2024,"22,421.55","22,476.45","22,384.00","22,402.40"
04/23/2024,"22,447.05","22,447.55","22,349.45","22,368.00"
04/22/2024,"22,336.90","22,375.65","22,198.15","22,336.40"
04/19/2024,"21,861.50","22,179.55","21,777.65","22,147.00"
04/18/2024,"22,212.35","22,326.50","21,961.70","21,995.85"
04/16/2024,"22,125.30","22,213.75","22,079.45","22,147.90"
04/15/2024,"22,339.05","22,427.45","22,259.55","22,272.50"
04/12/2024,"22,677.40","22,726.45","22,503.75","22,519.40"
04/10/2024,"22,720.25","22,775.70","22,673.70","22,753.80"
04/09/2024,"22,765.10","22,768.40","22,612.25","22,642.75"
04/08/2024,"22,578.35","22,697.30","22,550.35","22,666.30"
04/05/2024,"22,486.40","22,537.60","22,427.60","22,513.70"
04/04/2024,"22,592.10","22,619.00","22,303.80","22,514.65"
04/03/2024,"22,385.70","22,521.10","22,346.50","22,434.65"
04/02/2024,"22,458.80","22,497.60","22,388.15","22,453.30"
04/01/2024,"22,455.00","22,529.95","22,427.75","22,462.00"
03/28/2024,"22,163.60","22,516.00","22,163.60","22,326.90"
03/27/2024,"22,053.95","22,193.60","22,052.85","22,123.65"
03/26/2024,"21,947.90","22,073.20","21,947.55","22,004.70"
03/22/2024,"21,932.20","22,180.70","21,883.30","22,096.75"
03/21/2024,"21,989.90","22,080.95","21,941.30","22,011.95"
03/20/2024,"21,843.90","21,930.90","21,710.20","21,839.10"
03/19/2024,"21,946.45","21,978.30","21,793.10","21,817.45"
03/18/2024,"21,990.10","22,123.70","21,916.55","22,055.70"
03/15/2024,"22,064.85","22,120.90","21,931.70","22,023.35"
03/14/2024,"21,982.55","22,204.60","21,917.50","22,146.65"
03/13/2024,"22,432.20","22,446.75","21,905.65","21,997.70"
03/12/2024,"22,334.45","22,452.55","22,256.00","22,335.70"
03/11/2024,"22,517.50","22,526.60","22,307.25","22,332.65"
03/07/2024,"22,505.30","22,525.65","22,430.00","22,493.55"
03/06/2024,"22,327.50","22,497.20","22,224.35","22,474.05"
03/05/2024,"22,371.25","22,416.90","22,269.15","22,356.30"
03/04/2024,"22,403.50","22,440.90","22,358.30","22,405.60"
03/01/2024,"22,048.30","22,353.30","22,047.75","22,338.75"
02/29/2024,"21,935.20","22,060.55","21,860.65","21,982.80"
02/28/2024,"22,214.10","22,229.15","21,915.85","21,951.15"
02/27/2024,"22,090.20","22,218.25","22,085.65","22,198.35"
02/26/2024,"22,169.20","22,202.15","22,075.15","22,122.05"
02/23/2024,"22,290.00","22,297.50","22,186.10","22,212.70"
02/22/2024,"22,081.55","22,252.50","21,875.25","22,217.45"
02/21/2024,"22,248.85","22,249.40","21,997.95","22,055.05"
02/20/2024,"22,099.20","22,215.60","22,045.85","22,196.95"
02/19/2024,"22,103.45","22,186.65","22,021.05","22,122.25"
02/16/2024,"22,020.30","22,068.65","21,968.95","22,040.70"
02/15/2024,"21,906.55","21,953.85","21,794.80","21,910.75"
02/14/2024,"21,578.15","21,870.85","21,530.20","21,840.05"
02/13/2024,"21,664.30","21,766.80","21,543.35","21,743.25"
02/12/2024,"21,800.80","21,831.70","21,574.75","21,616.05"
02/09/2024,"21,727.00","21,804.45","21,629.90","21,782.50"
02/08/2024,"22,009.65","22,011.05","21,665.30","21,717.95"
02/07/2024,"22,045.05","22,053.30","21,860.15","21,930.50"
02/06/2024,"21,825.20","21,951.40","21,737.55","21,929.40"
02/05/2024,"21,921.05","21,964.30","21,726.95","21,771.70"
02/02/2024,"21,812.75","22,126.80","21,805.55","21,853.80"
02/01/2024,"21,780.65","21,832.95","21,658.75","21,697.45"
01/31/2024,"21,487.25","21,741.35","21,448.85","21,725.70"
01/30/2024,"21,775.75","21,813.05","21,501.80","21,522.10"
01/29/2024,"21,433.10","21,763.25","21,429.60","21,737.60"
01/25/2024,"21,454.60","21,459.00","21,247.05","21,352.60"
01/24/2024,"21,185.25","21,482.35","21,137.20","21,453.95"
01/23/2024,"21,716.70","21,750.25","21,192.60","21,238.80"
01/19/2024,"21,615.20","21,670.60","21,575.00","21,622.40"
01/18/2024,"21,414.20","21,539.40","21,285.55","21,462.25"
01/17/2024,"21,647.25","21,851.50","21,550.45","21,571.95"
01/16/2024,"22,080.50","22,124.15","21,969.80","22,032.30"
01/15/2024,"22,053.15","22,115.55","21,963.55","22,097.45"
01/12/2024,"21,773.55","21,928.25","21,715.15","21,894.55"
01/11/2024,"21,688.00","21,726.50","21,593.75","21,647.20"
